,loss,host,protocol,start_time
0,0.0,mlcnetD.cs.wpi.edu,pcc,"Dec  8, 2020 02:35:01.866609000 EST"
1,0.009287200832466182,mlcnetA.cs.wpi.edu,cubic,"Dec  8, 2020 06:20:31.838870000 EST"
2,0.0,mlcnetC.cs.wpi.edu,hybla,"Dec  7, 2020 10:33:19.053704000 EST"
3,0.025258243524692133,mlcnetA.cs.wpi.edu,cubic,"Dec  7, 2020 16:06:51.784383000 EST"
4,0.0,mlcnetB.cs.wpi.edu,bbr,"Dec  8, 2020 00:09:31.128064000 EST"
5,0.0,mlcnetB.cs.wpi.edu,bbr,"Dec  7, 2020 13:05:17.201490000 EST"
6,0.009696083418107833,mlcnetD.cs.wpi.edu,pcc,"Dec  7, 2020 10:40:35.547876000 EST"
7,0.0,mlcnetB.cs.wpi.edu,bbr,"Dec  7, 2020 11:58:38.831634000 EST"
8,0.005851129873354855,mlcnetA.cs.wpi.edu,cubic,"Dec  8, 2020 07:31:11.500860000 EST"
9,0.004525640249439971,mlcnetC.cs.wpi.edu,hybla,"Dec  7, 2020 20:49:33.940327000 EST"
10,0.0,mlcnetD.cs.wpi.edu,pcc,"Dec  8, 2020 06:37:07.743768000 EST"
11,0.049345657150261305,mlcnetA.cs.wpi.edu,cubic,"Dec  7, 2020 12:56:26.272018000 EST"
12,0.0011262627137733267,mlcnetC.cs.wpi.edu,hybla,"Dec  7, 2020 23:19:00.044553000 EST"
13,0.003133600822362967,mlcnetC.cs.wpi.edu,hybla,"Dec  7, 2020 13:50:38.314723000 EST"
14,0.0,mlcnetD.cs.wpi.edu,pcc,"Dec  8, 2020 05:05:57.757059000 EST"
15,0.004543799803146952,mlcnetC.cs.wpi.edu,hybla,"Dec  7, 2020 12:36:58.458086000 EST"
16,0.0,mlcnetB.cs.wpi.edu,bbr,"Dec  8, 2020 07:38:14.689985000 EST"
17,0.0009538168056367496,mlcnetB.cs.wpi.edu,bbr,"Dec  8, 2020 06:26:16.358616000 EST"
18,0.00012619433928249505,mlcnetB.cs.wpi.edu,bbr,"Dec  7, 2020 10:26:13.295531000 EST"
19,0.020447620048334558,mlcnetA.cs.wpi.edu,cubic,"Dec  7, 2020 19:45:35.806417000 EST"
20,0.0,mlcnetB.cs.wpi.edu,bbr,"Dec  8, 2020 01:06:13.244198000 EST"
21,0.014609450337512054,mlcnetA.cs.wpi.edu,cubic,"Dec  8, 2020 03:56:42.451323000 EST"
22,0.0,mlcnetC.cs.wpi.edu,hybla,"Dec  8, 2020 09:19:33.620660000 EST"
23,0.0,mlcnetD.cs.wpi.edu,pcc,"Dec  8, 2020 03:20:57.001408000 EST"
24,0.0005818080266235353,mlcnetC.cs.wpi.edu,hybla,"Dec  7, 2020 15:42:06.912044000 EST"
25,0.0,mlcnetD.cs.wpi.edu,pcc,"Dec  7, 2020 23:54:40.861625000 EST"
26,0.0,mlcnetD.cs.wpi.edu,pcc,"Dec  7, 2020 11:43:40.283939000 EST"
27,0.0002870538704430198,mlcnetB.cs.wpi.edu,bbr,"Dec  8, 2020 04:32:32.198602000 EST"
28,0.012490139363660268,mlcnetA.cs.wpi.edu,cubic,"Dec  8, 2020 03:04:46.959514000 EST"
29,0.009763769208086236,mlcnetC.cs.wpi.edu,hybla,"Dec  7, 2020 22:41:17.721750000 EST"
30,0.02041411963095682,mlcnetA.cs.wpi.edu,cubic,"Dec  8, 2020 09:04:58.443106000 EST"
31,0.0,mlcnetB.cs.wpi.edu,bbr,"Dec  7, 2020 19:02:59.261810000 EST"
32,0.004969245220131503,mlcnetA.cs.wpi.edu,cubic,"Dec  8, 2020 06:43:35.770835000 EST"
33,0.0,mlcnetB.cs.wpi.edu,bbr,"Dec  7, 2020 17:26:18.804183000 EST"
34,0.000752051793480038,mlcnetB.cs.wpi.edu,bbr,"Dec  8, 2020 03:33:39.479864000 EST"
35,0.0,mlcnetC.cs.wpi.edu,hybla,"Dec  8, 2020 00:16:41.261237000 EST"
36,0.0,mlcnetB.cs.wpi.edu,bbr,"Dec  7, 2020 21:57:29.867556000 EST"
37,0.013253392237298833,mlcnetA.cs.wpi.edu,cubic,"Dec  7, 2020 14:09:13.586430000 EST"
38,0.03893372386501729,mlcnetA.cs.wpi.edu,cubic,"Dec  7, 2020 18:51:29.767654000 EST"
39,0.0,mlcnetB.cs.wpi.edu,bbr,"Dec  8, 2020 09:42:38.178055000 EST"
40,0.013918202884005136,mlcnetD.cs.wpi.edu,pcc,"Dec  8, 2020 08:25:38.543865000 EST"
41,0.030150560392515274,mlcnetA.cs.wpi.edu,cubic,"Dec  7, 2020 15:22:14.743293000 EST"
42,0.009181369264746024,mlcnetD.cs.wpi.edu,pcc,"Dec  8, 2020 06:59:55.481790000 EST"
43,0.0,mlcnetC.cs.wpi.edu,hybla,"Dec  8, 2020 05:46:17.741448000 EST"
44,0.0,mlcnetB.cs.wpi.edu,bbr,"Dec  8, 2020 08:40:51.342001000 EST"
45,0.06838591516010871,mlcnetA.cs.wpi.edu,cubic,"Dec  7, 2020 20:29:03.780879000 EST"
46,0.0,mlcnetD.cs.wpi.edu,pcc,"Dec  8, 2020 09:26:50.771049000 EST"
47,0.011313006082677927,mlcnetC.cs.wpi.edu,hybla,"Dec  7, 2020 11:37:12.106305000 EST"
48,0.024345167789897867,mlcnetA.cs.wpi.edu,cubic,"Dec  7, 2020 13:34:07.663990000 EST"
49,0.0,mlcnetB.cs.wpi.edu,bbr,"Dec  7, 2020 14:17:25.889499000 EST"
50,0.01763274085814559,mlcnetA.cs.wpi.edu,cubic,"Dec  8, 2020 05:35:18.505270000 EST"
